feature,importance
MA50,0.17352120240905847
close,0.1712720807071961
MA200,0.14838649158698955
MA100,0.1462571280174476
low,0.09706876136366169
MA7,0.0824433198319813
high,0.0657912807773669
MA30,0.040133806418185036
lag1_close,0.03313874305884061
open,0.023988698185360275
atr14,0.004412697892686477
volatility30,0.003844320545223318
macd,0.001832907366627452
rsi14,0.001671812276110264
macd_signal,0.0015268838468325892
day_of_week,0.0009941206636611224
macd_diff,0.0008871270479385318
volatility7,0.0008322405647267889
Volume BTC,0.0007536977504565818
roc10,0.0006303742757534325
roc5,0.0006123054138958314
